"Diagram Data","Price","Salesperson","Stock Number","Vehicle Information","Creation Date","unique id"
"1725395741364x493969180732162050","109900","1725395698237x945890071386783700","383775B","1725395741364x505582031418163200","Sep 3, 2024 10:35 pm","1725395741364x534149345724334100"
"1725395742089x861644654434058200","109900","1725395698237x945890071386783700","383772B","1725395742089x684218519993712600","Sep 3, 2024 10:35 pm","1725395742089x782584137603612700"
"1725395742802x797632690738430000","","1725395698237x945890071386783700","382962B","1725395742802x554551386304675840","Sep 3, 2024 10:35 pm","1725395742802x250953260736184300"
"1725395743420x112550039930273800","","1725395698237x945890071386783700","382959B","1725395743420x355214939998650400","Sep 3, 2024 10:35 pm","1725395743420x776620424775860200"
"1725395743986x371873698854469600","","1725395698237x945890071386783700","382956B","1725395743986x685857370724106200","Sep 3, 2024 10:35 pm","1725395743986x684062042849280000"
"1725395744631x357954702671872000","","1725395698237x945890071386783700","380958B","1725395744631x551464898752675840","Sep 3, 2024 10:35 pm","1725395744631x561671562730930200"
"1725395747515x609382534966935600","89900","1725395698237x945890071386783700","380590B","1725395747515x464015839516950500","Sep 3, 2024 10:35 pm","1725395747515x580575605282308100"
"1725395748721x839398028836077600","64900","1725395698237x945890071386783700","375674B","1725395748721x394837313480294400","Sep 3, 2024 10:35 pm","1725395748721x491866952673001500"
"1725395749469x188715827024363520","49900","1725395698237x945890071386783700","371700B","1725395749469x211977729683750900","Sep 3, 2024 10:35 pm","1725395749469x288427142107103200"
"1725395750290x804043125957853200","79900","1725395698237x945890071386783700","342450B","1725395750290x884234996702511100","Sep 3, 2024 10:35 pm","1725395750290x370371609944653800"
"1725395750990x891019252622950400","65000","1725395698237x945890071386783700","315492B","1725395750990x238214723177545730","Sep 3, 2024 10:35 pm","1725395750990x791494275490119700"
"1725395752344x251041096930951170","","1725395698237x945890071386783700","386826","1725395752344x181868992470712320","Sep 3, 2024 10:35 pm","1725395752344x344493624932696060"
"1725403887959x298686338976448500","192900","1725403641428x754889495378657300","384261","1725403887959x878384773942739000","Sep 4, 2024 12:51 am","1725403887959x410290802893520900"
"1725403888661x322698311198572540","192900","1725403641428x754889495378657300","384260","1725403888661x406447804971745300","Sep 4, 2024 12:51 am","1725403888661x929861265344954400"
"1725403889762x315629785116573700","192900","1725403641428x754889495378657300","384259","1725403889762x668071165850026000","Sep 4, 2024 12:51 am","1725403889762x636081954689646600"
"1725403891193x992670331032830000","192900","1725403641428x754889495378657300","384011","1725403891193x582762422355361800","Sep 4, 2024 12:51 am","1725403891193x541001782893215740"
"1725403892030x139321782974021630","192900","1725403641428x754889495378657300","384010","1725403892030x590804834374910000","Sep 4, 2024 12:51 am","1725403892030x849183484370485200"
"1725403892926x497515701827010560","192900","1725403641428x754889495378657300","384009","1725403892926x323583605817475100","Sep 4, 2024 12:51 am","1725403892926x247241403713191940"
"1725403893708x332267835185430500","192900","1725403641428x754889495378657300","384008","1725403893708x118362029744455680","Sep 4, 2024 12:51 am","1725403893708x769751930591510500"
"1725403894499x184414485981954050","192900","1725403641428x754889495378657300","384007","1725403894499x522279113050292200","Sep 4, 2024 12:51 am","1725403894499x526564145575755800"
"1725403895184x760130923813929000","192900","1725403641428x754889495378657300","384006","1725403895184x925961381287559200","Sep 4, 2024 12:51 am","1725403895184x551385386299949060"
"1725403895963x249564077844070400","192900","1725403641428x754889495378657300","384005","1725403895963x564667341140394000","Sep 4, 2024 12:51 am","1725403895963x337499902348361700"
"1725403896642x751810260793294800","192900","1725403641428x754889495378657300","384004","1725403896642x974346960146792400","Sep 4, 2024 12:51 am","1725403896642x202967063763091460"
"1725403897916x224503592975335420","192900","1725403641428x754889495378657300","384003","1725403897916x843097271216373800","Sep 4, 2024 12:51 am","1725403897916x276688078883520500"
"1725403898776x637004153431785500","192900","1725403641428x754889495378657300","384002","1725403898776x338491043740385300","Sep 4, 2024 12:51 am","1725403898776x886960926993678300"
"1725403899674x224882354489917440","192900","1725403641428x754889495378657300","384001","1725403899674x301107330848129000","Sep 4, 2024 12:51 am","1725403899674x647464126331748400"
"1725403900620x546632391653064700","192900","1725403641428x754889495378657300","384000","1725403900620x281716318639751170","Sep 4, 2024 12:51 am","1725403900620x698690345072853000"
"1725403901442x246600108963266560","192900","1725403641428x754889495378657300","383999","1725403901442x463720822729605100","Sep 4, 2024 12:51 am","1725403901442x588643154413486100"
"1725403902232x803063353260376000","192900","1725403641428x754889495378657300","383998","1725403902232x280857284436295700","Sep 4, 2024 12:51 am","1725403902232x702010965929230300"
"1725403902890x979299743734169600","192900","1725403641428x754889495378657300","383997","1725403902890x905939119714074600","Sep 4, 2024 12:51 am","1725403902890x427859587149332500"
"1725403904078x198721467117207550","192900","1725403641428x754889495378657300","383996","1725403904078x850053270874357800","Sep 4, 2024 12:51 am","1725403904078x553348972662751200"
"1725403905262x780100179547652100","90978","1725403641428x754889495378657300","383858","1725403905262x251361556661534720","Sep 4, 2024 12:51 am","1725403905262x423428173262749700"
"1725403906624x502474592257572860","90978","1725403641428x754889495378657300","383857","1725403906624x520677537574813700","Sep 4, 2024 12:51 am","1725403906624x734920474294222800"
"1725403908012x693472713570779100","90978","1725403641428x754889495378657300","383856","1725403908012x668556402222432300","Sep 4, 2024 12:51 am","1725403908012x606643152534634500"
"1725403909436x603819676629729300","90978","1725403641428x754889495378657300","383855","1725403909436x947242101257535500","Sep 4, 2024 12:51 am","1725403909436x613800696186404900"
"1725403910606x222581382986334200","159900","1725403641428x754889495378657300","376558","1725403910606x276515328942407680","Sep 4, 2024 12:51 am","1725403910606x619183984969515000"
"1725403911747x248027497805905900","159900","1725403641428x754889495378657300","376557","1725403911747x797078538568073200","Sep 4, 2024 12:51 am","1725403911747x874834577313497100"
"1725403912746x366832227931389950","115978","1725403641428x754889495378657300","374443","1725403912746x414197497963741200","Sep 4, 2024 12:51 am","1725403912746x670264109480017900"
"1725403914202x812291431278575600","115978","1725403641428x754889495378657300","374441","1725403914202x394648972270239740","Sep 4, 2024 12:51 am","1725403914202x478058192151773200"
"1725403915303x733988801619165200","118900","1725403641428x754889495378657300","374431","1725403915303x710015141982765000","Sep 4, 2024 12:51 am","1725403915303x846863059424641000"
"1725403916257x957729533088759800","196900","1725403641428x754889495378657300","374350","1725403916257x751064568950685700","Sep 4, 2024 12:51 am","1725403916257x489426687931711500"
"1725403917138x565666526664589300","256900","1725403641428x754889495378657300","369423","1725403917138x752963766446981100","Sep 4, 2024 12:51 am","1725403917138x307093955132260350"
"1725403918074x611604167465369600","256900","1725403641428x754889495378657300","369422","1725403918074x426850295340335100","Sep 4, 2024 12:51 am","1725403918074x774068347451474000"
"1725403919022x223310319070216200","256900","1725403641428x754889495378657300","369419","1725403919022x608850352593961000","Sep 4, 2024 12:51 am","1725403919022x645861271595909100"
"1725403919659x880897478145343500","256900","1725403641428x754889495378657300","369418","1725403919659x874809878925017100","Sep 4, 2024 12:51 am","1725403919659x931821318933315600"
"1725403920208x125840012873826300","118900","1725403641428x754889495378657300","369417","1725403920208x847428806729007100","Sep 4, 2024 12:52 am","1725403920208x834626170132627500"
"1725403921261x307553306466058240","256900","1725403641428x754889495378657300","369416","1725403921261x167445416627404800","Sep 4, 2024 12:52 am","1725403921261x468480982594617340"
"1725403921905x943100771197255700","256900","1725403641428x754889495378657300","369415","1725403921905x811177113119359000","Sep 4, 2024 12:52 am","1725403921905x955468943452799000"
"1725403922570x936469498208452600","256900","1725403641428x754889495378657300","369414","1725403922570x891505425715822600","Sep 4, 2024 12:52 am","1725403922570x945516550649282600"
"1725403923238x241551336577957900","256900","1725403641428x754889495378657300","369413","1725403923238x238517426347573250","Sep 4, 2024 12:52 am","1725403923238x234012851444908030"
"1725403923842x543407168034177000","256900","1725403641428x754889495378657300","369412","1725403923842x816372089584353300","Sep 4, 2024 12:52 am","1725403923842x630139855758950400"
"1725403924967x465981302332456960","256900","1725403641428x754889495378657300","369411","1725403924967x527264934003474400","Sep 4, 2024 12:52 am","1725403924967x575760932386897900"
"1725403925840x871922236144746500","199900","1725403641428x754889495378657300","349561","1725403925840x360118835314950140","Sep 4, 2024 12:52 am","1725403925840x371919840147931140"
"1725403926662x632357149823205400","199900","1725403641428x754889495378657300","339962","1725403926662x284809471950585860","Sep 4, 2024 12:52 am","1725403926662x940972128599539700"
"1725403948177x205765898491396100","84900","1725403641428x243729516961988600","387435","1725403948177x482186392091754500","Sep 4, 2024 12:52 am","1725403948177x110995152230154240"
"1725403949796x621713521864343600","84900","1725403641428x243729516961988600","387434","1725403949796x699981247522013200","Sep 4, 2024 12:52 am","1725403949796x547518734602076160"
"1725403950739x301312158309023740","73900","1725403641428x243729516961988600","385279","1725403950739x620309328742318100","Sep 4, 2024 12:52 am","1725403950739x567815623863959550"
"1725403952086x414474406096535550","69900","1725403641428x243729516961988600","383034","1725403952086x108078369406976000","Sep 4, 2024 12:52 am","1725403952086x625538465612955600"
"1725403952994x130964284188917760","154900","1725403641428x243729516961988600","381511","1725403952994x325139559350009860","Sep 4, 2024 12:52 am","1725403952994x434897722151534600"
"1725403953870x517197182980849660","99900","1725403641428x243729516961988600","349860","1725403953870x641001199872770000","Sep 4, 2024 12:52 am","1725403953870x390159665488461800"
"1725403954752x997294419205161000","99900","1725403641428x243729516961988600","348993","1725403954752x493127471626715140","Sep 4, 2024 12:52 am","1725403954752x670930143611191300"
"1725403955729x700716622509244400","69900","1725403641428x243729516961988600","339475","1725403955729x336082201145770000","Sep 4, 2024 12:52 am","1725403955729x458014569151332350"
"1725403956588x270252919253893120","74900","1725403641428x243729516961988600","330840","1725403956588x740421087463473200","Sep 4, 2024 12:52 am","1725403956588x264906366833131520"
"1725403957364x172892094362812400","59900","1725403641428x243729516961988600","299305","1725403957364x213369261333413900","Sep 4, 2024 12:52 am","1725403957364x425030668143820800"
"1725403958610x224062659939008500","82900","1725403641428x243729516961988600","290861","1725403958610x899034979179954200","Sep 4, 2024 12:52 am","1725403958610x884996154496122900"
"1725403959586x548961384240250900","79900","1725403641428x243729516961988600","282568","1725403959586x948102504609218600","Sep 4, 2024 12:52 am","1725403959586x886339075088318500"
"1725403960494x815089318222889000","","1725403641428x243729516961988600","282550","1725403960494x547414955394072600","Sep 4, 2024 12:52 am","1725403960494x796767735593828400"
"1725403961640x663784319402377200","35900","1725403641428x243729516961988600","242078","1725403961640x594253243027816400","Sep 4, 2024 12:52 am","1725403961640x466753977131204600"
"1725406515801x401953574171705340","258500","1725406139997x971850582937043000","376343","1725406515801x773048158959435800","Sep 4, 2024 1:35 am","1725406515801x779837732658610200"
"1725406519074x423144443139325950","248500","1725406139997x971850582937043000","376342","1725406519074x504216487637549060","Sep 4, 2024 1:35 am","1725406519074x493767545182224400"
"1725406521837x887351897980403700","217900","1725406139997x971850582937043000","376331","1725406521837x417985832619868160","Sep 4, 2024 1:35 am","1725406521837x456067579250475000"
"1725406522754x886373168247472100","217900","1725406139997x971850582937043000","376330","1725406522754x297877124655087600","Sep 4, 2024 1:35 am","1725406522754x642953326848901100"
"1725406523496x877506182818562000","217900","1725406139997x971850582937043000","376329","1725406523496x978956068193828900","Sep 4, 2024 1:35 am","1725406523496x245673617101684740"
"1725406524099x363468804342415360","224900","1725406139997x971850582937043000","341778","1725406524099x911548060018409500","Sep 4, 2024 1:35 am","1725406524099x429349732487528450"
"1725406531175x785763558701400000","139500","1725406139997x591563282424004600","386425","1725406531175x875474488815779800","Sep 4, 2024 1:35 am","1725406531175x253859080376418300"
"1725406556077x702145174026846200","130500","1725406139997x591563282424004600","386424","1725406556077x195797037289570300","Sep 4, 2024 1:35 am","1725406556077x920339858004639700"
"1725406557420x902049397108637700","104500","1725406139997x591563282424004600","385642","1725406557420x772722256323543000","Sep 4, 2024 1:35 am","1725406557420x835654557335814100"
"1725406558293x373445542910361600","159500","1725406139997x591563282424004600","385551","1725406558293x944231297098711000","Sep 4, 2024 1:35 am","1725406558293x165773421086769150"
"1725406559033x511385857748107260","122500","1725406139997x591563282424004600","385310","1725406559033x544868169366896640","Sep 4, 2024 1:35 am","1725406559033x845479347793428500"
"1725406559709x342017033162457100","39500","1725406139997x591563282424004600","380557","1725406559709x902124739921969200","Sep 4, 2024 1:35 am","1725406559709x282294553711738880"
"1725406560477x883244909449183200","39500","1725406139997x591563282424004600","380554","1725406560477x232900902825230340","Sep 4, 2024 1:36 am","1725406560477x452548824709201900"
"1725406561297x770722386036654100","37500","1725406139997x591563282424004600","380451","1725406561297x679617662806392800","Sep 4, 2024 1:36 am","1725406561297x572360107071897600"
"1725406562159x594322705886478300","39500","1725406139997x591563282424004600","379794","1725406562159x201569139136921600","Sep 4, 2024 1:36 am","1725406562159x542336458943365100"
"1725406563096x420378762574037000","39500","1725406139997x591563282424004600","379792","1725406563096x959773549956431900","Sep 4, 2024 1:36 am","1725406563096x760495759323299800"
"1725406563793x709497856269221900","49500","1725406139997x591563282424004600","370605","1725406563793x919206527607242800","Sep 4, 2024 1:36 am","1725406563793x136266928702095360"
"1725406564351x723566943602999300","121500","1725406139997x591563282424004600","368291","1725406564351x266800783531704320","Sep 4, 2024 1:36 am","1725406564351x589870217369485300"
"1725407921663x792563277627916300","188762","1725407784548x608869702027968500","555222","1725407921663x389693608476540900","Sep 4, 2024 1:58 am","1725407921663x826959518519263200"
"1725407922310x139899410223464450","169949","1725407784548x608869702027968500","382078","1725407922310x658022131580272600","Sep 4, 2024 1:58 am","1725407922310x746724380225044500"
"1725407922977x785970881232896000","169949","1725407784548x608869702027968500","382069","1725407922977x181084187154972670","Sep 4, 2024 1:58 am","1725407922977x737183752704753700"
"1725407944597x487235422776459260","39000","1725407784548x840768105388441600","387609","1725407944597x542096986938277900","Sep 4, 2024 1:59 am","1725407944597x709134129697914900"
"1725407945335x468777882323255300","64500","1725407784548x840768105388441600","386317","1725407945335x504574117600559100","Sep 4, 2024 1:59 am","1725407945335x792368074242129900"
"1725407945923x852592051963297800","42500","1725407784548x840768105388441600","386269","1725407945923x785294209218248700","Sep 4, 2024 1:59 am","1725407945923x938729579064328200"
"1725407946503x636978206878990300","44850","1725407784548x840768105388441600","385074","1725407946503x149805252480598000","Sep 4, 2024 1:59 am","1725407946503x476535129828753400"
"1725407947191x905370995451494400","63000","1725407784548x840768105388441600","384612","1725407947191x656203899860942800","Sep 4, 2024 1:59 am","1725407947191x424637602541862900"
"1725407947880x682303416184340500","59900","1725407784548x840768105388441600","384512","1725407947880x938242404256317400","Sep 4, 2024 1:59 am","1725407947880x818210409758588900"
"1725407948610x986859553886044200","49900","1725407784548x840768105388441600","383477","1725407948610x398932168737292300","Sep 4, 2024 1:59 am","1725407948610x674991356008202200"
"1725407949250x123238908035334140","74900","1725407784548x840768105388441600","383182","1725407949250x243397515582898180","Sep 4, 2024 1:59 am","1725407949250x635988719447834600"
"1725407949910x327045793796587500","34900","1725407784548x840768105388441600","383085","1725407949910x589991927501029400","Sep 4, 2024 1:59 am","1725407949910x812836714801266700"
"1725407950614x356455439488253950","54900","1725407784548x840768105388441600","377352","1725407950614x990414186909532200","Sep 4, 2024 1:59 am","1725407950614x968153290852008000"
"1725407951351x647380264882012200","39900","1725407784548x840768105388441600","375176","1725407951351x635402732404998100","Sep 4, 2024 1:59 am","1725407951351x690262776095440900"
"1725407952078x327777862807191550","39900","1725407784548x840768105388441600","352278","1725407952078x447089141521842200","Sep 4, 2024 1:59 am","1725407952078x584342847225856000"
"1725407952715x236619885762314240","39900","1725407784548x840768105388441600","297221","1725407952715x971534852626841600","Sep 4, 2024 1:59 am","1725407952715x549696173780500500"
"1725407953364x860668564347813900","39900","1725407784548x840768105388441600","296796","1725407953364x342071046004801540","Sep 4, 2024 1:59 am","1725407953364x138796269607583740"
"1725407954039x961124627186188300","39900","1725407784548x840768105388441600","296295","1725407954039x970067091266994200","Sep 4, 2024 1:59 am","1725407954039x398458996485259260"
"1725407954704x760001852338339800","39900","1725407784548x840768105388441600","278737","1725407954704x832634762554245100","Sep 4, 2024 1:59 am","1725407954704x895683609439240200"
"1725408723282x512701444958191600","","1725408658047x339183514694189060","386831","1725408723282x372669035018453000","Sep 4, 2024 2:12 am","1725408723282x709889315391144000"
"1725408723779x177507503676588030","72900","1725408658047x339183514694189060","385269","1725408723779x677557273685131300","Sep 4, 2024 2:12 am","1725408723779x343392365694418940"
"1725408724327x383687329903018000","72900","1725408658047x339183514694189060","385264","1725408724327x152806822084608000","Sep 4, 2024 2:12 am","1725408724327x276713406940315650"
"1725408725543x907218181492834300","109900","1725408658047x339183514694189060","383775","1725408725543x343549361000808450","Sep 4, 2024 2:12 am","1725408725543x191135051850711040"
"1725408726279x741913771939725300","109900","1725408658047x339183514694189060","383772","1725408726279x212379724210503700","Sep 4, 2024 2:12 am","1725408726279x196863815150731260"
"1725408727022x241100844933578750","","1725408658047x339183514694189060","383206","1725408727022x383913066160980000","Sep 4, 2024 2:12 am","1725408727022x125121726078517250"
"1725408727743x243322776240783360","","1725408658047x339183514694189060","383205","1725408727743x684412220004368400","Sep 4, 2024 2:12 am","1725408727743x470861671847690240"
"1725408728506x808679967712870400","","1725408658047x339183514694189060","383202","1725408728506x680232573668950000","Sep 4, 2024 2:12 am","1725408728506x507719624569651200"
"1725408729158x648451462820790300","","1725408658047x339183514694189060","383025","1725408729158x671151776972668900","Sep 4, 2024 2:12 am","1725408729158x544553940884914200"
"1725408729934x154235445392965630","","1725408658047x339183514694189060","382965","1725408729934x754742727133888500","Sep 4, 2024 2:12 am","1725408729934x461279669788344300"
"1725408730694x841885803971870700","","1725408658047x339183514694189060","382964","1725408730694x996785628811886600","Sep 4, 2024 2:12 am","1725408730694x608443900925837300"
"1725408731329x908640823910334500","","1725408658047x339183514694189060","382962","1725408731329x367419350468263940","Sep 4, 2024 2:12 am","1725408731329x106607535868084220"
"1725408731900x248355201314717700","","1725408658047x339183514694189060","382960","1725408731900x441468381508141060","Sep 4, 2024 2:12 am","1725408731900x675984589210255400"
"1725408732483x285081187255844860","","1725408658047x339183514694189060","382959","1725408732483x763217036163678200","Sep 4, 2024 2:12 am","1725408732483x627426013476028400"
"1725408734403x337328495504392200","","1725408658047x339183514694189060","382957","1725408734403x713979449402720300","Sep 4, 2024 2:12 am","1725408734403x583377442410594300"
"1725408735317x782707824755998700","","1725408658047x339183514694189060","382956","1725408735317x742001979784429600","Sep 4, 2024 2:12 am","1725408735317x876743084488261600"
"1725408736199x111552043513806850","137900","1725408658047x339183514694189060","382698","1725408736199x165229820334833660","Sep 4, 2024 2:12 am","1725408736199x454972506602209300"
"1725408737150x338429579138695200","","1725408658047x339183514694189060","380958","1725408737150x495215837604479000","Sep 4, 2024 2:12 am","1725408737150x452668081542529000"
"1725408738089x496341017393627140","74900","1725408658047x339183514694189060","380590","1725408738089x319771282212126700","Sep 4, 2024 2:12 am","1725408738089x280283862568009730"
"1725408738785x232342899314130940","64900","1725408658047x339183514694189060","375674","1725408738785x564480854813835260","Sep 4, 2024 2:12 am","1725408738785x353549049934905340"
"1725408739492x483582109009051650","49900","1725408658047x339183514694189060","371700","1725408739492x509998292737196000","Sep 4, 2024 2:12 am","1725408739492x551442894268399600"
"1725408740232x992916566083633200","39900","1725408658047x339183514694189060","346823","1725408740232x447160360525889540","Sep 4, 2024 2:12 am","1725408740232x701370056272248800"
"1725408740884x984148390521339900","65000","1725408658047x339183514694189060","315492","1725408740884x599732534262366200","Sep 4, 2024 2:12 am","1725408740884x674319691292344300"
"1725408741560x240988277775269900","65000","1725408658047x339183514694189060","315491","1725408741560x130638820873338880","Sep 4, 2024 2:12 am","1725408741560x105660918873718780"
"1725408742727x361562075486748700","65000","1725408658047x339183514694189060","315488","1725408742727x113699581317611520","Sep 4, 2024 2:12 am","1725408742727x880789030841876500"
"1725408743471x684853932215763000","45000","1725408658047x339183514694189060","297240","1725408743471x491521443858743300","Sep 4, 2024 2:12 am","1725408743471x955131755217813500"
"1725408744409x221737382029033470","49900","1725408658047x339183514694189060","289061","1725408744409x415821877939011600","Sep 4, 2024 2:12 am","1725408744409x152763834569850880"
"1725408745236x751568408929894400","54900","1725408658047x339183514694189060","276716","1725408745236x405874033571135500","Sep 4, 2024 2:12 am","1725408745236x258974633344892930"
"1725409504493x846605337535447000","49900","1725409454662x269918587495120900","386468","1725409504493x749461191028637700","Sep 4, 2024 2:25 am","1725409504493x992658474102423600"
"1725409505012x709586734813282300","39900","1725409454662x269918587495120900","386411","1725409505012x859765079794516000","Sep 4, 2024 2:25 am","1725409505012x983502626627256300"
"1725409506079x847587361523499000","74900","1725409454662x269918587495120900","385281","1725409506079x352939903321374700","Sep 4, 2024 2:25 am","1725409506079x233831782392791040"
"1725409506782x297618207452430340","186900","1725409454662x269918587495120900","383423","1725409506782x946759757601964000","Sep 4, 2024 2:25 am","1725409506782x316726572216221700"
"1725409507489x510028338292588540","79900","1725409454662x269918587495120900","382523","1725409507489x919796472002117600","Sep 4, 2024 2:25 am","1725409507489x656646496765345800"
"1725409508557x708634536518090800","49900","1725409454662x269918587495120900","377594","1725409508557x901897776056762400","Sep 4, 2024 2:25 am","1725409508557x883832750264811500"
"1725409510209x562017140526284800","107500","1725409454662x269918587495120900","369857","1725409510209x915808346156040200","Sep 4, 2024 2:25 am","1725409510209x772184290534359000"
"1725409511440x729066554157957100","49900","1725409454662x269918587495120900","311080","1725409511440x506059774571053060","Sep 4, 2024 2:25 am","1725409511440x820690424635588600"
"1733943700119x128001112469143550","69900","1720557856076x917956074753753100","451505","1733943700119x517327021688750100","Dec 11, 2024 8:01 pm","1733943700119x178416742314541060"
"1733943701504x288307112187527200","34900","1720557856076x917956074753753100","BT4413","1733943701504x395913944698978300","Dec 11, 2024 8:01 pm","1733943701504x898162712069275600"
"1733956484611x476137457389404160","19900","1720557856076x917956074753753100","FN7454","1733956484611x701261098976280600","Dec 11, 2024 11:34 pm","1733956484611x619840180314177500"
"1733956485517x678624626113249300","18900","1720557856076x917956074753753100","GU6198","1733956485517x655781157347262500","Dec 11, 2024 11:34 pm","1733956485517x502925866913759200"
"1733957031080x929688594974244900","32900","1720557856076x917956074753753100","GX8107","1733957031080x908549505918173200","Dec 11, 2024 11:43 pm","1733957031080x623252457539502100"
"1733957047487x274207630555873280","29900","1720557856076x917956074753753100","423768","1733957047487x456251015947878400","Dec 11, 2024 11:44 pm","1733957047487x528588801134034940"
"1733957047953x284191412597293060","29900","1720557856076x917956074753753100","423775","1733957047953x711053510213632000","Dec 11, 2024 11:44 pm","1733957047953x842649575219003400"
"1733957048418x521055260844752900","29900","1720557856076x917956074753753100","423819","1733957048418x508057613404733440","Dec 11, 2024 11:44 pm","1733957048418x748997588232437800"
"1733957049619x648490005738946600","36900","1720557856076x917956074753753100","JK5460","1733957049619x782680263005569000","Dec 11, 2024 11:44 pm","1733957049619x308835763355648000"
"1733957051120x401849610849484800","34900","1720557856076x917956074753753100","JK5517","1733957051120x723499239734247400","Dec 11, 2024 11:44 pm","1733957051120x840646071311401000"
"1733957052677x561189546807001100","59900","1720557856076x917956074753753100","KH7570","1733957052677x303989245225205760","Dec 11, 2024 11:44 pm","1733957052677x803791208416542700"
"1733957054237x193178313010708500","36900","1720557856076x917956074753753100","315776","1733957054237x131464159698616320","Dec 11, 2024 11:44 pm","1733957054237x486084734791188500"
"1733957055443x409855864684150800","95900","1720557856076x917956074753753100","LN7223","1733957055443x333163387108458500","Dec 11, 2024 11:44 pm","1733957055443x657370366834901000"
"1733957056630x250682662125305860","79900","1720557856076x917956074753753100","LN7226","1733957056630x558174125748912100","Dec 11, 2024 11:44 pm","1733957056630x650662051145318400"
"1733957059432x724884107639128000","35900","1720557856076x917956074753753100","642239","1733957059432x719268020697169900","Dec 11, 2024 11:44 pm","1733957059432x553540935031980000"
"1733957062477x763818119204175900","44900","1720557856076x917956074753753100","650772","1733957062477x354868331946704900","Dec 11, 2024 11:44 pm","1733957062477x311208160777469950"
"1733957064140x896806158022475800","48900","1720557856076x917956074753753100","650983","1733957064140x270182362546962430","Dec 11, 2024 11:44 pm","1733957064140x964857179559428100"
"1733957065358x823117444906221600","59900","1720557856076x917956074753753100","445793","1733957065358x564982529515585540","Dec 11, 2024 11:44 pm","1733957065358x428535962582384640"
"1733957066850x340155838699405300","49900","1720557856076x917956074753753100","460744","1733957066850x897411128610259000","Dec 11, 2024 11:44 pm","1733957066850x460428855172399100"
"1733957068000x909413008036331500","49900","1720557856076x917956074753753100","462169","1733957068000x687201684863057900","Dec 11, 2024 11:44 pm","1733957068000x675236533510340600"
"1733957068947x406550492927754200","59900","1720557856076x917956074753753100","756170","1733957068947x345924058027917300","Dec 11, 2024 11:44 pm","1733957068947x432813589855993860"
"1733957069885x781309384805318700","59900","1720557856076x917956074753753100","756174","1733957069885x374307409284300800","Dec 11, 2024 11:44 pm","1733957069885x728501393075732500"
"1733957071144x848807662758920200","47900","1720557856076x917956074753753100","760547","1733957071144x574853792607764500","Dec 11, 2024 11:44 pm","1733957071144x262980038634242050"
"1733957073061x630642379841077200","73900","1720557856076x917956074753753100","148770","1733957073061x730497018757120000","Dec 11, 2024 11:44 pm","1733957073061x563702936659034100"
"1734027751253x143848872999125000","59900","1720557856076x917956074753753100","760557","1734027751253x453288695357767700","Dec 12, 2024 7:22 pm","1734027751253x708100595574636500"
"1734027752485x839885755109867500","58900","1720557856076x917956074753753100","760564","1734027752485x836524253373792300","Dec 12, 2024 7:22 pm","1734027752485x781999573383249900"
"1734371213631x171439432623194100","39900","1721936059223x586049240986026000","CON94","1734371213631x221587123185909760","Dec 16, 2024 6:46 pm","1734371213631x912250745071075300"
"1734371214509x178201868212633600","29900","1721936059223x586049240986026000","CON92","1734371214509x464686634939187200","Dec 16, 2024 6:46 pm","1734371214509x496377151560876000"
"1734371215365x547261348517773300","69900","1721936059223x586049240986026000","23460","1734371215365x196141547659984900","Dec 16, 2024 6:46 pm","1734371215365x107703727646834690"
"1734371216958x594093758775033900","19900","1721936059223x586049240986026000","23419","1734371216958x913825014238937100","Dec 16, 2024 6:46 pm","1734371216958x256013333589917700"
"1734371217881x923360601021087700","6900","1721936059223x586049240986026000","23399","1734371217881x804414627135881200","Dec 16, 2024 6:46 pm","1734371217881x403312610721136640"
"1734371218864x579889926042812400","30900","1721936059223x586049240986026000","22995","1734371218864x279146413378240500","Dec 16, 2024 6:46 pm","1734371218864x938704783580856300"
"1734371221384x458553690347012100","37900","1721936059223x586049240986026000","23695","1734371221384x814248613406310400","Dec 16, 2024 6:47 pm","1734371221384x476630545383030800"
"1734371223553x420533781346385900","37900","1721936059223x586049240986026000","23694","1734371223553x992395594036150300","Dec 16, 2024 6:47 pm","1734371223553x267980006628786180"
"1734371224289x321792614953648100","25900","1721936059223x586049240986026000","23690","1734371224289x852405722131202000","Dec 16, 2024 6:47 pm","1734371224289x511919209259466750"
"1734371225735x606663829268725800","19900","1721936059223x586049240986026000","23688","1734371225735x110413526864232450","Dec 16, 2024 6:47 pm","1734371225735x875560058673692700"
"1734371226682x410356509098639360","17900","1721936059223x586049240986026000","23686","1734371226682x668307413801107500","Dec 16, 2024 6:47 pm","1734371226682x690634511561261000"
"1734371229036x739744549184995300","25900","1721936059223x586049240986026000","23675","1734371229036x295732155436498940","Dec 16, 2024 6:47 pm","1734371229036x442329036658835460"
"1734371230911x540864747178557440","15900","1721936059223x586049240986026000","23674","1734371230911x893297389456588800","Dec 16, 2024 6:47 pm","1734371230911x354562136864718850"
"1734371232232x421498837718794240","22900","1721936059223x586049240986026000","23658","1734371232232x352853877037727740","Dec 16, 2024 6:47 pm","1734371232232x985834650425098200"
"1734371233350x251057599433146370","27900","1721936059223x586049240986026000","23653","1734371233350x650696458950148100","Dec 16, 2024 6:47 pm","1734371233350x872364338809929700"
"1734371234398x820783530238541800","27900","1721936059223x586049240986026000","23652","1734371234398x705670309942394900","Dec 16, 2024 6:47 pm","1734371234398x209982920522989570"
